"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
2,"Cal","Barcin Bone 582",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis fused",""
11,"Tib_dist","Barcin Bone 668",61,11,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
11,"Tib_dist","Barcin Bone 670",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
8,"PH2","Barcin Bone 671",62,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
8,"PH2","Barcin Bone 672",63,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
3,"Mtc_dist","Barcin Bone 673",64,3,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis unfused"
5,"Mtt_dist","Barcin Bone 678",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis fused"
4,"Mtc_prox","Barcin Bone 714",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
7,"PH1","Barcin Bone 717",65,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
6,"Mtt_prox","Barcin Bone 785",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 786",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
11,"Tib_dist","Barcin Bone 863",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
7,"PH1","Barcin Bone 963",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 964",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
4,"Mtc_prox","Barcin Bone 969",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
10,"Rad_prox","Barcin Bone 988",67,10,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 991",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 1006",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
4,"Mtc_prox","Barcin Bone 1007",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
7,"PH1","Barcin Bone 1008",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 1009",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 1010",1,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 1011",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
4,"Mtc_prox","Barcin Bone 1106",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
7,"PH1","Barcin Bone 1167",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1168",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1169",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1170",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1171",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
11,"Tib_dist","Barcin Bone 1172",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
1,"Ast","Barcin Bone 1177",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
11,"Tib_dist","Barcin Bone 1287",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 1288",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
3,"Mtc_dist","Barcin Bone 1299",3,3,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
4,"Mtc_prox","Barcin Bone 1351",4,4,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
5,"Mtt_dist","Barcin Bone 1365",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis fused"
8,"PH2","Barcin Bone 1366",5,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
11,"Tib_dist","Barcin Bone 1367",6,11,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 1368",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis unfused"
10,"Rad_prox","Barcin Bone 1495",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused",""
10,"Rad_prox","Barcin Bone 1496",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused",""
9,"Rad_dist","Barcin Bone 1497",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
9,"Rad_dist","Barcin Bone 1498",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
7,"PH1","Barcin Bone 1527",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 1528",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 1529",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1530",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 1533",7,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
8,"PH2","Barcin Bone 1536",8,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
4,"Mtc_prox","Barcin Bone 1540",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
4,"Mtc_prox","Barcin Bone 1541",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
3,"Mtc_dist","Barcin Bone 1542",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis fused"
3,"Mtc_dist","Barcin Bone 1641",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis unfused"
7,"PH1","Barcin Bone 1642",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1643",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
4,"Mtc_prox","Barcin Bone 1665",10,4,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
11,"Tib_dist","Barcin Bone 1668",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
7,"PH1","Barcin Bone 1669",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1670",11,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 1671",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
11,"Tib_dist","Barcin Bone 1773",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 1774",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 1775",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
5,"Mtt_dist","Barcin Bone 1782",12,5,0,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis fused"
2,"Cal","Barcin Bone 1783",13,2,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 1787",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1788",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1789",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 1790",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
6,"Mtt_prox","Barcin Bone 1796",14,6,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
4,"Mtc_prox","Barcin Bone 1797",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
10,"Rad_prox","Barcin Bone 1800",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
7,"PH1","Barcin Bone 1803",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1804",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
11,"Tib_dist","Barcin Bone 1975",15,11,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
6,"Mtt_prox","Barcin Bone 1977",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 1979",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
9,"Rad_dist","Barcin Bone 1982",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
8,"PH2","Barcin Bone 1992",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1993",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1994",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1995",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 1996",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1997",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1998",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 1999",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2000",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2001",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2002",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
1,"Ast","Barcin Bone 2181",17,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
7,"PH1","Barcin Bone 2182",18,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2183",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2184",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 2185",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
3,"Mtc_dist","Barcin Bone 2213",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","","Distal epiphysis unfused"
11,"Tib_dist","Barcin Bone 2218",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
2,"Cal","Barcin Bone 2250",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
1,"Ast","Barcin Bone 2253",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
6,"Mtt_prox","Barcin Bone 2261",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
8,"PH2","Barcin Bone 2264",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
2,"Cal","Barcin Bone 2304",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","Proximal epiphysis fused",""
9,"Rad_dist","Barcin Bone 2320",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis fused"
4,"Mtc_prox","Barcin Bone 2339",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
4,"Mtc_prox","Barcin Bone 2340",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
6,"Mtt_prox","Barcin Bone 2341",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
7,"PH1","Barcin Bone 2342",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
7,"PH1","Barcin Bone 2343",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 2344",19,7,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2345",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2346",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2347",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
10,"Rad_prox","Barcin Bone 2427",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis unfused",""
9,"Rad_dist","Barcin Bone 2430",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis fused"
10,"Rad_prox","Barcin Bone 2431",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","",""
5,"Mtt_dist","Barcin Bone 2432",20,5,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 2433",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
6,"Mtt_prox","Barcin Bone 2434",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
5,"Mtt_dist","Barcin Bone 2435",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 2436",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2437",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 2438",21,8,0,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 2439",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 2440",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
1,"Ast","Barcin Bone 2442",22,1,1,"Barcin","Bos taurus Linnaeus, 1758","talus","",""
